2316679802668653168;14;21633;31;1;1305;1200;442730;546004;6;405;1;NULL;124745;21;1;3;1
2316679802668653852;3;7151;27;0;510;420;293618;127784;NULL;96;NULL;NULL;55122;6;NULL;NULL;1
2316679802668655694;1;5256;26;1;490;20;253553;110999;NULL;82;NULL;NULL;48903;5;NULL;NULL;0
2316679802668657400;1;107;NULL;0;90;NULL;3606;NULL;NULL;80;NULL;NULL;840;NULL;NULL;NULL;0
2316679802668659326;3;1402;5;0;95;NULL;43472;NULL;NULL;80;NULL;NULL;4985;NULL;NULL;NULL;0
2316679802668661375;11;13966;29;1;516;496;301309;135285;NULL;82;NULL;NULL;57822;8;NULL;NULL;0
2316679802668663424;1;129;2;0;90;NULL;7368;NULL;NULL;80;NULL;NULL;1630;NULL;NULL;NULL;0
2316679802668665473;1;31;NULL;0;40;NULL;2404;NULL;NULL;80;NULL;NULL;745;NULL;NULL;NULL;0
2316679802668667522;1;985;11;0;50;NULL;67662;3630;NULL;80;NULL;NULL;15130;1;NULL;NULL;0
2316679837028392220;4;6591;27;0;550;520;299649;184912;NULL;92;NULL;NULL;60297;9;NULL;NULL;0
2316679837028392833;1;1136;11;0;165;NULL;70662;33753;NULL;80;NULL;NULL;24125;1;NULL;NULL;0
2316679837028394062;2;7341;27;1;525;10;267137;55657;NULL;132;NULL;NULL;43107;8;NULL;NULL;0
2316679837028395768;1;335;4;0;90;NULL;21036;NULL;NULL;80;NULL;NULL;3900;NULL;NULL;NULL;0
2316679837028397695;1;2608;15;0;170;NULL;127492;44320;NULL;80;NULL;NULL;29735;2;NULL;NULL;0
2316679837028399744;2;2224;10;0;115;NULL;57042;21340;NULL;80;NULL;NULL;19505;1;NULL;NULL;0
2316679837028401793;1;508;6;0;105;NULL;32822;NULL;NULL;80;NULL;NULL;5990;NULL;NULL;NULL;0
2316679837028405891;1;2205;17;0;275;NULL;127315;63496;NULL;80;NULL;NULL;34785;3;NULL;NULL;0
2316679871388130588;1;5076;25;1;550;NULL;237131;133383;NULL;147;NULL;NULL;52961;9;NULL;NULL;0
2316679871388131201;1;3491;18;0;340;NULL;134850;59272;NULL;85;NULL;NULL;35360;4;NULL;NULL;0
2316679871388132430;1;350;3;0;90;NULL;12648;NULL;NULL;80;NULL;NULL;2505;NULL;NULL;NULL;0
2316679871388134136;2;1522;15;0;215;NULL;108188;46574;NULL;80;NULL;NULL;28770;1;NULL;NULL;0
2316679871388140162;1;232;4;0;40;NULL;19600;NULL;NULL;80;NULL;NULL;3900;NULL;NULL;NULL;0
2316679871388144260;1;147;3;0;90;NULL;9928;NULL;NULL;80;NULL;NULL;2245;NULL;NULL;NULL;0
2316679905747868275;3;974;7;0;105;NULL;42706;NULL;NULL;80;NULL;NULL;6550;1;NULL;NULL;0
2316679905747868956;1;7503;26;1;535;213;266037;159306;NULL;164;NULL;NULL;60165;7;NULL;NULL;0
2316679905747869570;1;189;2;0;90;NULL;8648;NULL;NULL;80;NULL;NULL;1630;NULL;NULL;NULL;0
2316679905747872505;1;1198;10;0;130;NULL;58952;25925;NULL;80;NULL;NULL;21965;1;NULL;NULL;0
2316679905747874433;2;8283;27;1;665;584;273317;176842;6;104;1;NULL;68794;10;NULL;NULL;0
2316679905747876482;2;3718;26;1;500;68;256205;115340;NULL;82;NULL;NULL;52463;6;NULL;NULL;0
2316679905747878531;2;2790;10;0;110;NULL;56042;21340;NULL;80;NULL;NULL;20470;1;NULL;NULL;0
2316679905747880580;1;252;4;0;90;NULL;16728;NULL;NULL;80;NULL;NULL;3575;NULL;NULL;NULL;0
2316679905747882629;1;187;3;0;90;NULL;11288;NULL;NULL;80;NULL;NULL;2465;NULL;NULL;NULL;0
2316679940107606644;1;6773;25;1;793;417;300753;244702;NULL;199;NULL;NULL;73348;12;NULL;NULL;0
2316679940107607324;2;273;3;0;90;NULL;11288;NULL;NULL;80;NULL;NULL;2245;NULL;NULL;NULL;0
2316679940107607939;2;6827;25;1;553;465;242498;165649;NULL;174;NULL;NULL;59046;8;NULL;NULL;0
2316679940107609167;1;247;2;0;90;NULL;7368;NULL;NULL;80;NULL;NULL;1630;NULL;NULL;NULL;0
2316679940107612802;2;1776;9;0;115;NULL;53378;21340;NULL;80;NULL;NULL;19440;1;NULL;NULL;0
2316679940107614851;1;59;NULL;0;40;NULL;3606;NULL;NULL;80;NULL;NULL;840;NULL;NULL;NULL;0
2316679940107616900;7;5835;15;0;165;5;105254;39834;NULL;85;NULL;NULL;28601;2;NULL;NULL;0
2316679940107618949;3;4484;26;1;505;NULL;260278;128327;NULL;112;NULL;NULL;56873;7;NULL;NULL;0
2316679940107620998;4;16754;30;1;1005;974;388843;475914;NULL;266;NULL;NULL;114046;18;NULL;NULL;1
2316679974467345013;5;10259;29;1;979;956;384875;295948;6;182;1;NULL;85417;13;NULL;NULL;0
2316679974467345692;1;341;4;0;90;NULL;38164;NULL;NULL;80;NULL;NULL;3575;NULL;NULL;NULL;0
2316679974467346308;4;8760;28;1;538;85;294791;164102;NULL;82;NULL;NULL;59358;6;NULL;NULL;0
2316679974467347535;5;12271;27;1;600;331;302173;151554;6;91;1;NULL;65377;7;NULL;NULL;0
2316679974467349242;4;17362;29;1;575;190;337958;149152;6;87;1;NULL;69808;7;NULL;NULL;0
2316679974467351171;1;1045;12;0;165;NULL;76837;19570;6;80;1;NULL;24931;1;NULL;NULL;0
2316679974467357318;1;1972;17;0;285;NULL;127315;64606;NULL;80;NULL;NULL;34837;3;NULL;NULL;0
2316679974467359367;1;621;7;0;105;NULL;37684;NULL;NULL;80;NULL;NULL;6710;NULL;NULL;NULL;0
2316680008827083382;2;3815;26;1;500;10;254997;142214;NULL;82;NULL;NULL;51608;6;NULL;NULL;0
2316680008827084060;1;873;6;0;105;NULL;34416;NULL;NULL;80;NULL;NULL;5510;1;NULL;NULL;0
2316680008827084677;5;21296;30;1;1402;1401;445992;381244;6;270;1;NULL;108485;21;NULL;NULL;0
2316680008827085904;1;9;NULL;0;40;NULL;NULL;NULL;NULL;80;NULL;NULL;NULL;NULL;NULL;NULL;0
2316680008827089540;2;280;4;0;90;NULL;18164;NULL;NULL;80;NULL;NULL;3575;NULL;NULL;NULL;0
2316680008827091589;1;526;6;0;105;NULL;32822;NULL;NULL;80;NULL;NULL;5510;NULL;NULL;NULL;0
2316680008827093638;6;2820;17;0;235;NULL;150225;42219;NULL;80;NULL;NULL;32935;6;NULL;NULL;0
2316680008827095687;4;17759;30;1;1023;970;398535;452984;NULL;265;NULL;NULL;108315;16;NULL;NULL;1
